@relation	Hand-based-all	
		
@ATTRIBUTE	Sigdist	NUMERIC
@ATTRIBUTE	AVXV	NUMERIC
@ATTRIBUTE	AYXV	NUMERIC
@ATTRIBUTE	VEL1Y	NUMERIC
@ATTRIBUTE	VEL1X	NUMERIC
@ATTRIBUTE	VEL4X	NUMERIC
@ATTRIBUTE	VEL4Y	NUMERIC
@ATTRIBUTE	VEL5	NUMERIC
@ATTRIBUTE	VEL6	NUMERIC
@ATTRIBUTE	VELCOR	NUMERIC
@ATTRIBUTE	Initdir	NUMERIC
@ATTRIBUTE	XSize	NUMERIC
@ATTRIBUTE	YSize	NUMERIC
@ATTRIBUTE	TotalTime	NUMERIC
@ATTRIBUTE	VeLXZero	NUMERIC
@ATTRIBUTE	VelYZero	NUMERIC
@ATTRIBUTE	AvPress	NUMERIC
@ATTRIBUTE	PIXELCENX	NUMERIC
@ATTRIBUTE	PIXELCENY	NUMERIC
@ATTRIBUTE	PTD	NUMERIC
@ATTRIBUTE	HDRATION	NUMERIC
@ATTRIBUTE	SET	NUMERIC
@ATTRIBUTE	DCHANGE	NUMERIC
@ATTRIBUTE	DUR1	NUMERIC
@ATTRIBUTE	DUR2	NUMERIC
@ATTRIBUTE	DUR3	NUMERIC
@ATTRIBUTE	DUR4	NUMERIC
@ATTRIBUTE	TIME3	NUMERIC
@ATTRIBUTE	TIME4	NUMERIC
@ATTRIBUTE	TIME5	NUMERIC
@ATTRIBUTE	TIME6	NUMERIC
@attribute	dtfk1	NUMERIC
@attribute	ft1	NUMERIC
@attribute	dtsk1	NUMERIC
@attribute	dtfk2	NUMERIC
@attribute	ft2	NUMERIC
@attribute	dtsk2	NUMERIC
@attribute	dtfk3	NUMERIC
@attribute	ft3	NUMERIC
@attribute	dtsk3	NUMERIC
@attribute	dtfk4	NUMERIC
@attribute	ft4	NUMERIC
@attribute	dtsk4	NUMERIC
@attribute	dtfk5	NUMERIC
@attribute	ft5	NUMERIC
@attribute	dtsk5	NUMERIC
@attribute	dtfk6	NUMERIC
@attribute	ft6	NUMERIC
@attribute	dtsk6	NUMERIC
@attribute	dtfk7	NUMERIC
@attribute	ft7	NUMERIC
@attribute	dtsk7	NUMERIC
@attribute	dtfk8	NUMERIC
@attribute	ft8	NUMERIC
@attribute	dtsk8	NUMERIC
@attribute	dtfk9	NUMERIC
@attribute	ft9	NUMERIC
@attribute	dtsk9	NUMERIC
@attribute	dtfk10	NUMERIC
@attribute	ft10	NUMERIC
@attribute	dtsk10	NUMERIC
@attribute	dtfk11	NUMERIC
@attribute	ft11	NUMERIC
@attribute	dtsk11	NUMERIC
@attribute	dtfk12	NUMERIC
@attribute	ft12	NUMERIC
@attribute	dtsk12	NUMERIC
@attribute	dtfk13	NUMERIC
@attribute	ft13	NUMERIC
@attribute	dtsk13	NUMERIC
@attribute	dtfk14	NUMERIC
@attribute	ft14	NUMERIC
@attribute	dtsk14	NUMERIC
@attribute	sum	NUMERIC
@ATTRIBUTE	ME	NUMERIC
@ATTRIBUTE	DIF1	NUMERIC
@ATTRIBUTE	ER	NUMERIC
@ATTRIBUTE	DIF2	NUMERIC
@ATTRIBUTE	RI	NUMERIC
@ATTRIBUTE	DIF3	NUMERIC
@ATTRIBUTE	CA	NUMERIC
@ATTRIBUTE	DIF4	NUMERIC
@ATTRIBUTE	SE	NUMERIC
@ATTRIBUTE	DIF5	NUMERIC
@ATTRIBUTE	IC	NUMERIC
@ATTRIBUTE	DIF6	NUMERIC
@ATTRIBUTE	NO	NUMERIC
@ATTRIBUTE	DIF7	NUMERIC
@ATTRIBUTE	RR	NUMERIC
@ATTRIBUTE	DIF8	NUMERIC
@ATTRIBUTE	DE	NUMERIC
@ATTRIBUTE	DIF9	NUMERIC
@ATTRIBUTE	EL	NUMERIC
@ATTRIBUTE	DIF10	NUMERIC
@ATTRIBUTE	IR	NUMERIC
@ATTRIBUTE	TOT	NUMERIC
@ATTRIBUTE	STD	NUMERIC
@ATTRIBUTE class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}
@DATA

1423.9982,0.0712711812,-0.0006536386,0,0,-2.9162393487,795.8448714888,-0.2079166667,0.09096,0,0,-0.2398481615,13.5101208726,1445.73195,107.01103,19.98,99,76,0.6137796188,1022.2606440282,884.3138277273,199958813.402988,13.5101208726,19980,201,-9283,-10697,-9225,-10747,0,8,8,0,109,109,32,78,78,15,62,62,313,391,391,47,62,62,16,78,79,15,78,94,62,109,453,94,31,16,62,47,62,47,32,94,234,78,62,125,16,31,63,15,4029,283,163,120,-103,223,-253,476,317,159,-123,282,114,168,26,142,41,101,33,68,-26,94,2116,118.5776308814,44
1293.40088,0.0711833176,-0.0075039334,0.005348901,0,-1.368644764,54.5967510267,-0.0974622222,0.1624344444,0.0243555481,-0.001791293,0.1640183746,9.1293466882,1404.01866,153.7918,18.17,67,56,0.5041366985,1043.1993095531,412.1082499255,145006924.497742,9.1293466882,18170,186,-17703,-467,-7977,-10035,0,8,7,0,78,15,93,16,93,32,62,62,16,47,516,578,32,47,125,16,437,63,62,78,94,94,15,31,94,32,63,62,47,63,94,94,172,16,16,78,94,47,32,46,3846,137,54,83,-37,120,-113,233,82,151,47,104,28,76,-66,142,67,75,17,58,-33,91,1270,49.5446538718,44
1366.5938,0.1034827957,-0.0059482606,0,0,-0.1411939378,141.4696993833,-0.01462,-0.3362365,0,0,0.3559557018,10.6896350525,1396.027,130.59632,13.206,59,57,0.5383767984,1102.8504603786,371.0601229176,97761788.5575436,10.6896350525,13206,157,-13206,0,-6060,-7113,0,8,8,0,16,79,172,63,78,62,50,62,313,391,484,79,62,79,47,15,250,78,47,90,62,94,640,63,437,16,62,47,62,47,32,94,234,78,46,32,62,31,63,15,4828,111,21,90,-171,261,-8,269,57,212,-70,282,103,179,-26,205,104,101,33,68,-83,151,1929,76.6723845035,44
10.9937,0.0003794857,0.0036096514,-0.0705896839,-0.1621123063,-526.3633496206,-9.9625616846,-0.1578557895,0.1858241935,0.0001854582,0.0021169388,0.1815773874,10.0521992626,1616.483106,160.8089,28.97,86,62,0.4967566182,820.6051461049,439.0848422762,339076849.524244,10.0521992626,28970,188,-22214,-6756,-18095,-10858,8,8,8,0,62,62,188,62,62,32,78,78,109,219,219,15,63,78,125,63,79,46,47,78,125,63,94,16,109,63,62,94,63,93,63,78,16,78,63,62,78,79,171,63,3970,203,10,193,-302,495,-181,676,507,169,-544,713,532,181,-913,1094,668,426,228,198,-743,941,5289,333.1815775765,45
1561.41784,0.0969764512,0.001168238,-0.1167601507,0.4910891071,-0.6487757349,-494.6017005753,-0.0629433333,-0.15228125,0.0679634543,0.0007467577,0.00141707,8.725811863,1569.019644,179.8136,16.101,42,39,0.5344881196,874.7559340887,639.128235107,229217987.692611,8.725811863,16101,148,-10442,-5659,-8706,-7379,0,17,0,17,63,453,31,94,62,78,78,47,62,63,62,47,94,94,62,47,93,47,63,63,109,63,94,78,78,62,94,47,47,109,47,94,62,16,62,63,78,63,46,63,3172,92,-44,136,27,109,-130,239,79,160,-18,178,-26,204,-890,1094,926,168,-185,353,185,168,2901,284.1974985495,45
1557.32443,0.0907637504,-0.0010224251,0.1298699655,0,-1.6414939609,582.1476311894,-0.1490576471,-0.2293152941,0,-0.0007724045,-0.1284546079,10.2467405719,1570.87144,153.3045,17.158,46,35,0.5678720766,887.5943871932,700.4650895988,240915567.664968,10.2467405719,17158,151,-11760,-5398,-9344,-7797,0,7,0,16,62,62,94,62,47,63,47,78,109,219,62,32,94,16,78,94,62,16,78,79,63,94,78,47,93,63,62,94,63,93,63,78,16,78,63,266,109,79,171,63,3378,350,196,154,-347,501,-169,670,517,153,-560,713,537,176,-5,181,-245,426,228,198,30,168,3690,212.7695296025,45
1560.24827,0.079665472,0.0055734062,0.0085354004,0.0601318218,-0.2754696057,-21.6754714408,0.17199,-0.0343941176,0.0181717338,0.0006917313,-0.2648735237,6.1194847883,1646.2086,269.01098,19.585,49,35,0.6013811465,963.1528476789,657.35433637,190037000.831789,6.1194847883,19585,155,-14632,-4953,-12204,-7364,7,7,3580,0,156,156,16,94,94,62,78,78,172,266,266,47,94,93,63,94,78,157,93,94,312,63,79,46,114,594,63,93,109,31,94,94,31,78,63,78,15,94,31,78,4577,198,-874,1072,943,129,35,94,-49,143,-657,800,631,169,9,160,17,143,-90,233,96,137,3278,323.285941544,46
1602.74109,0.1003218008,0.0130121495,0.1736395234,0,-0.7017818016,-6.0083746996,0.0866316667,0.0758027778,0,0.0047507392,-0.4138032182,6.8320446821,1739.86838,254.66291,15.976,29,28,0.6193841277,1016.5396735018,711.4241057942,183602112.973799,6.8320446821,15976,134,-10043,-5933,-7778,-8181,0,8,17,0,94,125,16,78,78,47,93,78,15,78,0,31,78,93,63,844,31,94,63,63,94,62,63,47,109,94,78,47,110,47,78,172,78,63,16,109,78,94,78,78,3844,153,96,57,-85,142,-41,183,-18,201,16,185,51,134,-26,160,87,73,-695,768,475,293,2349,194.3905160425,46
1720.47362,0.1120610708,0.0062273321,-8.40613652868395E-005,0,-0.7775559854,-4.2656430345,-0.009746,0.1169515,0,0.0001538214,-0.2047178613,4.0664186524,1845.90561,453.9389,15.353,35,26,0.6735671492,1120.9908616112,645.1340864448,209109780.867099,4.0664186524,15353,155,-11456,-3897,-7170,-8166,0,7,222,0,16,187,32,94,93,47,94,78,172,266,0,16,78,62,31,63,78,16,93,62,109,172,844,62,31,594,63,93,109,31,94,94,31,78,78,47,110,94,31,78,4530,161,0,161,18,143,-138,281,102,179,-621,800,623,177,25,152,9,143,-90,233,47,186,2616,191.0307923775,46
