@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R32-97

@attribute Sigdist numeric
@attribute AVXV numeric
@attribute AYXV numeric
@attribute VEL1Y numeric
@attribute VEL1X numeric
@attribute VEL4X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VeLXZero numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
1423.9982,0.071271,-0.000654,0,0,-2.916239,795.844871,-0.207917,0.09096,0,0,-0.239848,13.510121,1445.73195,107.01103,19.98,99,76,0.61378,1022.260644,884.313828,199958813.402988,13.510121,19980,201,-9283,-10697,-9225,-10747,0,8,44
1293.40088,0.071183,-0.007504,0.005349,0,-1.368645,54.596751,-0.097462,0.162434,0.024356,-0.001791,0.164018,9.129347,1404.01866,153.7918,18.17,67,56,0.504137,1043.19931,412.10825,145006924.497742,9.129347,18170,186,-17703,-467,-7977,-10035,0,8,44
1366.5938,0.103483,-0.005948,0,0,-0.141194,141.469699,-0.01462,-0.336236,0,0,0.355956,10.689635,1396.027,130.59632,13.206,59,57,0.538377,1102.85046,371.060123,97761788.557544,10.689635,13206,157,-13206,0,-6060,-7113,0,8,44
10.9937,0.000379,0.00361,-0.07059,-0.162112,-526.36335,-9.962562,-0.157856,0.185824,0.000185,0.002117,0.181577,10.052199,1616.483106,160.8089,28.97,86,62,0.496757,820.605146,439.084842,339076849.524244,10.052199,28970,188,-22214,-6756,-18095,-10858,8,8,45
1561.41784,0.096976,0.001168,-0.11676,0.491089,-0.648776,-494.601701,-0.062943,-0.152281,0.067963,0.000747,0.001417,8.725812,1569.019644,179.8136,16.101,42,39,0.534488,874.755934,639.128235,229217987.692611,8.725812,16101,148,-10442,-5659,-8706,-7379,0,17,45
1557.32443,0.090764,-0.001022,0.12987,0,-1.641494,582.147631,-0.149058,-0.229315,0,-0.000772,-0.128455,10.246741,1570.87144,153.3045,17.158,46,35,0.567872,887.594387,700.46509,240915567.664968,10.246741,17158,151,-11760,-5398,-9344,-7797,0,7,45
1560.24827,0.079665,0.005573,0.008535,0.060132,-0.27547,-21.675471,0.17199,-0.034394,0.018172,0.000692,-0.264874,6.119485,1646.2086,269.01098,19.585,49,35,0.601381,963.152848,657.354336,190037000.831789,6.119485,19585,155,-14632,-4953,-12204,-7364,7,7,46
1602.74109,0.100322,0.013012,0.17364,0,-0.701782,-6.008375,0.086632,0.075803,0,0.004751,-0.413803,6.832045,1739.86838,254.66291,15.976,29,28,0.619384,1016.539674,711.424106,183602112.973799,6.832045,15976,134,-10043,-5933,-7778,-8181,0,8,46
1720.47362,0.112061,0.006227,-0.000084,0,-0.777556,-4.265643,-0.009746,0.116951,0,0.000154,-0.204718,4.066419,1845.90561,453.9389,15.353,35,26,0.673567,1120.990862,645.134086,209109780.867099,4.066419,15353,155,-11456,-3897,-7170,-8166,0,7,46
2288.86445,0.107393,0.010595,0.157183,0.056373,-0.028349,-24.014705,0.019493,0.064973,0.014696,0.00501,-0.310102,7.314659,2309.0388,315.6728,21.313,43,27,0.568305,1417.750956,413.200421,572361574.053708,7.314659,21313,134,-19149,-2164,-8986,-12310,8,8,47
1909.54745,0.107781,0.006376,0,0,-0.555358,0,-0.002953,0.162433,0,0,-0.099625,6.6932,2085.46378,311.57947,17.717,62,42,0.563425,1233.569573,389.667615,505184510.114155,6.6932,17717,141,-16115,-1602,-8701,-9000,8,8,47
1731.09675,0.123175,0.000839,-0.111882,0.099657,-0.878654,-385.374337,-0.102459,0.492297,0.059509,0.000392,-0.073018,9.347414,1885.76689,201.74209,14.054,48,35,0.455704,1226.279266,346.980034,289836053.701986,9.347414,14054,118,-13161,-893,-6971,-7067,0,8,47
2305.43256,0.0635,-0.011419,0,0.5,-1.112525,39.973686,-0.070659,-0.068223,0.052132,-0.004919,-0.185109,4.36012,2308.25892,529.4026,36.306,66,65,0.441681,1128.614793,915.449501,735182294.316716,4.36012,36306,188,-17691,-18615,-17082,-18901,0,7,48
2337.692355,0.116704,-0.006165,0.1489,0.046755,-1.035175,100.060279,-0.120851,-0.05068,0.05208,-0.003022,-0.111011,7.582631,2349.29003,309.8252,20.031,49,35,0.496364,1145.262554,1052.240141,358723510.959692,7.582631,20031,154,-10441,-9590,-10310,-9704,0,6,48
2422.775462,0.131337,-0.009716,0,0,0.154187,90.029428,0.131572,-0.185175,0,0,-0.145816,7.661488,2423.750062,316.355,18.447,37,35,0.445521,1226.472694,1028.997673,326319732.72327,7.661488,18447,142,-10059,-8388,-8947,-9483,0,15,48
1632.27173,0.080662,0.013018,-0.001624,0,-8.922827,-8.88677,-0.125308,-0.013926,0,0.003108,0.062846,6.151508,1721.83808,279.90505,20.236,50,44,0.348968,1095.556578,810.025641,169995997.524494,6.151508,20236,150,-11333,-8903,-8193,-12027,8,8,49
1618.33487,0.095822,0.017479,0.012941,-0.0342,-6.397146,0,-0.233315,-0.437093,0.022876,0.003589,0.282265,5.299451,1756.0467,331.3639,16.889,51,50,0.384799,1079.736976,765.972193,166746213.712899,5.299451,16889,160,-11903,-4986,-7341,-9531,0,7,49
1701.46871,0.112412,0.017971,0.195946,0,-5.442382,-20.664828,0.012995,-0.37035,0,0.007706,0.057429,5.916477,1849.21924,312.5541,15.136,50,50,0.433652,1067.950352,804.664582,166814684.841878,5.916477,15136,146,-9593,-5543,-6757,-8362,7,7,49
2189.6495,0.085297,0.000513,-0.132693,-0.091702,-1.334063,-786.216106,-0.09074,-0.020168,0.071833,0.000344,-0.284369,8.586284,2295.394364,267.3327,25.671,45,36,0.536266,1181.572561,857.537932,1021922540.19514,8.586284,25671,160,-15266,-10405,-12480,-13174,0,7,50
2299.48755,0.107548,0.000319,0.085173,0,-1.780057,-1646.88926,-0.024366,-0.05482,0,0.000156,-0.260421,8.001029,2414.198791,301.73605,21.381,36,38,0.530458,1179.986119,961.932628,759483302.47401,8.001029,21381,138,-12438,-8943,-10569,-10795,0,7,50
2199.20055,0.105139,-0.001682,-0.300459,0,-1.058824,279.103641,0.069615,-0.009284,0,-0.001027,-0.21897,9.035828,2290.521217,253.49324,20.917,45,40,0.449227,1086.785826,900.236639,711137992.717049,9.035828,20917,152,-11181,-9736,-10050,-10833,7,7,50
1762.3817,0.122498,0.0126,-0.176638,0.079437,-0.773845,-23.193472,-0.020886,-0.062654,0.066597,0.005879,0.182637,5.479682,1901.75049,347.05487,14.387,35,32,0.609384,1225.922734,696.024326,135887241.285351,5.479682,14387,118,-10171,-4216,-6740,-7630,0,16,51
1722.81262,0.125086,0.020754,0.612903,0.03799,-1.322153,-10.923024,0.08818,-0.2042,0.025179,0.006873,0.144181,4.319153,1875.72844,434.28156,13.773,34,31,0.597679,1129.286159,728.355161,113938422.181969,4.319153,13773,118,-8526,-5247,-6041,-7716,0,7,51
1627.88596,0.134414,0.018275,-0.373134,-0.045763,-1.198263,-7.342729,-0.064974,-0.105586,0.036318,0.007468,0.015913,5.298619,1743.37694,329.02478,12.111,29,29,0.593228,1108.082194,673.186804,102807294.629808,5.298619,12111,111,-8565,-3546,-5885,-6210,0,8,51
1315.23204,0.085616,0.010417,-0.057063,0,-3.666092,-5.194886,-0.314039,-0.054144,0,0.003794,-0.444151,6.456328,1352.8519,209.5389,15.362,36,41,0.488606,1070.78247,696.438046,162141274.693177,6.456328,15362,134,-11149,-4213,-8130,-7216,8,8,52
206.8059,0.011068,-0.017659,-0.07787,0.031515,-21.492225,6.326937,-0.23742,8.526316,0.000909,-0.002072,-0.650976,1.990249,1303.04944,654.7168,18.685,36,35,0.5195,1327.378311,669.045472,143907087.562856,1.990249,18685,144,-18468,-217,-11518,-7151,0,8,52
4.9818,0.000342,-0.016213,-0.000263,0.019965,-1615.675282,0,-0.46865,0.169995,0.000184,-0.000701,-0.291937,1.742238,1037.76154,595.64864,14.573,36,22,0.626187,1217.457415,690.398662,97249128.827904,1.742238,14573,128,-14573,0,-8188,-6369,17,17,52
617.2336,0.034455,-0.006817,-0.011458,0,-40.584686,123.399734,-0.272106,-0.841536,0,-0.000338,-0.166036,3.78234,1640.65315,433.7667,17.914,57,36,0.615888,1236.01183,736.694321,375033416.438214,3.78234,17914,154,-15741,-2173,-10244,-7638,15,15,53
1515.22138,0.082912,0.004208,0.106396,0.006456,0.309215,-60.485928,0.144242,-0.02339,0.020757,0.003005,-0.389845,7.685178,1515.22138,197.16152,18.275,39,36,0.549741,1182.786634,593.195153,322934651.069896,7.685178,18275,133,-17018,-1257,-9637,-8621,0,8,53
1427.89658,0.075454,-0.000201,-0.001278,-0.018413,-1.223148,0,-0.10632,-0.147666,0.023299,-0.000021,0.044327,2.50163,1786.60775,714.17757,18.924,61,42,0.56661,1113.58241,660.346254,356202375.892552,2.50163,18924,162,-15920,-3004,-11174,-7734,13,13,53
879.9507,0.074433,-0.017391,0.019959,0.044672,-17.641902,36.916531,-1.331719,27,0.028837,-0.000645,-0.098648,3.282814,1494.07256,455.1195,11.822,31,22,0.564222,1275.326682,602.336232,130282946.016951,3.282814,11822,113,-10019,-1803,-5706,-6099,7,7,54
1018.0428,0.053343,-0.003929,0.016694,0.045467,-64.883434,0,-5.030303,0.482175,0.019685,-0.000146,0.978215,2.509656,1956.4923,779.58584,19.085,29,23,0.561442,1426.186369,754.832005,170246862.919997,2.509656,19085,105,-16172,-2913,-11598,-7471,34,34,54
1883.58182,0.144824,-0.014719,-0.019428,-0.341362,0.594574,0,0.300324,-0.013909,0.123265,-0.000818,-0.044539,4.200808,1883.58182,448.38564,13.006,28,20,0.611587,1434.744607,696.781893,111756265.632137,4.200808,13006,101,-9518,-3488,-4828,-8161,17,17,54
1113.9758,0.039316,0.006009,0,0,-0.19065,-91.49693,-0.007497,-0.014993,0,0,-0.194582,4.660004,1694.9391,363.7205,28.334,47,31,0.498935,1170.552136,658.384439,423887165.389384,4.660004,28334,167,-21619,-6715,-13349,-14968,0,7,55
1136.29428,0.071465,0.013038,-0.15433,0.133398,-1.83155,-78.721049,0.303457,-0.808475,0.014498,0.00482,-0.170029,4.337135,1831.9687,422.39142,15.9,26,28,0.624526,1266.838783,603.222955,367042199.633463,4.337135,15900,140,-15139,-761,-3684,-12199,7,7,55
1117.38684,0.072998,0.015274,-0.2,0.147059,0.201433,-44.953874,0.175429,0.011138,0.017673,0.005395,-0.198006,4.07103,1648.54764,404.94605,15.307,32,26,0.606101,1113.161415,516.958734,255542364.633709,4.07103,15307,142,-15055,-252,-3679,-11612,7,7,55
899.85462,0.025159,0.014774,-0.080745,0.341989,-0.120948,0,0.150621,-0.00886,0.015455,0.008005,-0.389991,3.369891,2094.72277,621.59955,35.767,131,98,0.700157,1051.38829,565.859091,1579090387.24654,3.369891,35767,213,-25768,-9999,-8745,-27005,17,17,56
735.14595,0.028618,0.016762,-0.336061,0.068724,-0.192604,-6.118704,0.074378,-0.102589,0.005816,0.00782,-0.273722,3.990526,2046.08976,512.73685,25.688,82,55,0.694733,1197.705547,633.419499,1020939587.2383,3.990526,25688,166,-25454,-234,-6467,-19205,7,7,56
234.97774,0.009408,0.00201,-0.088236,0.235865,-0.216693,-11.522431,0.085995,-0.005734,0.003281,0.000937,-0.281635,3.622729,1785.47995,492.85492,24.977,81,44,0.680262,924.202,475.66919,758619285.009971,3.622729,24977,144,-21277,-3700,-6408,-18552,0,8,56
1358.60216,0.070463,0.00741,-0.355281,0.05999,-6.291012,-27.068045,-0.022932,-0.200653,0.024587,0.00403,-0.448761,9.598348,1518.24269,158.1775,19.281,36,35,0.510958,892.382674,1155.194875,120038506.039887,9.598348,19281,170,-5280,-14001,-7245,-12019,0,0,57
787.44015,0.018488,0.018642,0,0,-1.344332,0,-0.023507,0.024616,0,0,-0.534426,1.834269,1488.80952,811.66362,42.593,45,40,0.476538,841.82333,1135.838655,107189946.964805,1.834269,42593,180,-3228,-39365,-7945,-34631,15,0,57
1297.88408,0.084267,0.007081,0.40072,0,-8.006016,-51.794661,-0.389843,-0.366912,0,0.004413,-0.412214,10.714364,1396.124514,130.304,15.402,39,40,0.489365,763.418195,1176.684352,97907810.185714,10.714364,15402,176,-1697,-13705,-8085,-7307,7,0,57
2348.41291,0.086355,0.006494,-0.044515,0.486569,-3.159285,-30.008611,-0.272889,-0.194918,0.055828,0.002402,-0.293289,9.280911,2412.34712,259.92569,27.195,67,80,0.527517,1280.275352,223.597166,1114590297.8933,9.280911,27195,248,-24702,-2493,-13840,-13338,17,17,58
1168.94357,0.044961,0.003464,0,-0.014706,-5.315283,0,-0.02658,-0.023627,0.023074,0,-0.170222,9.288741,1749.90667,188.39008,25.999,78,73,0.529585,892.073655,162.746511,778358257.962927,9.288741,25999,243,-23975,-2024,-13132,-12851,8,8,58
1927.28519,0.07131,0.002037,0,0,-4.390544,-15.563689,0.005129,0.123108,0,0,-0.376367,12.433368,2024.843345,162.855575,27.027,91,74,0.519543,985.066378,163.882529,895522926.054573,12.433368,27027,254,-25825,-1202,-13447,-13564,8,8,58
1748.83468,0.081156,-0.0009,-0.083105,0,-1.346101,18.549777,-0.02499,0.209914,0.101879,-0.000859,-0.047182,16.235323,1924.069025,118.51129,21.549,61,47,0.424372,1001.400992,154.673627,615744887.091633,16.235323,21549,145,-20894,-655,-10598,-10918,17,17,59
1584.32108,0.082931,0.001362,0.164948,-0.09511,-1.046555,0,-0.014767,-0.038393,0.078651,0.001225,-0.024973,12.666051,1733.143554,136.83377,19.104,53,42,0.507116,997.990508,149.752817,495340081.583271,12.666051,19104,141,-19004,-100,-9503,-9584,16,16,59
1736.65213,0.096685,-0.000396,0,0,-0.539773,1,0.47512,0.304564,0,0,0.029747,13.879556,1974.9434,142.291538,17.962,37,37,0.497691,1077.778996,129.350555,502098126.422635,13.879556,17962,131,-17962,0,-9807,-8138,8,8,59
1279.366496,0.094481,0.004901,-0.087736,0.035806,-1.718212,-48.867325,-0.162434,0.123451,0.021087,0.002729,-0.081074,7.932079,1296.422227,163.4404,13.541,37,34,0.463481,754.560404,822.471433,180499276.875186,7.932079,13541,128,-5846,-7695,-6212,-7312,0,0,60
1129.17954,0.084532,0.002568,-0.520652,0.199325,-0.856867,-147.863864,-0.072471,-0.0075,0.04984,0.001551,-0.294782,7.073417,1146.4301,162.07586,13.358,30,22,0.56077,718.237763,912.133951,146757807.941114,7.073417,13358,119,-4822,-8536,-6072,-7270,17,0,60
1220.40284,0.094576,0.00284,0,0,0.565191,-147.673095,0.081217,0.454808,0,0,-0.176629,7.299127,1224.98354,167.82604,12.904,44,31,0.56498,711.652518,864.928538,178472717.864602,7.299127,12904,146,-4934,-7970,-6467,-6421,7,0,60
1834.6976,0.117151,0.003031,0.012874,-0.174243,-1.709298,-134.10138,-0.200335,-0.211163,0.072883,0.001771,-0.096123,8.640719,1856.04149,214.80173,15.661,43,25,0.450073,1055.520355,318.260226,324443116.851414,8.640719,15661,126,-13843,-1818,-7196,-8448,7,7,61
1502.71036,0.080596,0.012908,-0.041511,0.360457,-14.179039,0.881043,-1.200676,7.043478,0.07041,0.001833,-0.135643,6.850065,2120.64732,309.580625,18.645,60,39,0.517255,1241.497246,328.055844,368409593.306359,6.850065,18645,155,-17160,-1485,-7933,-10695,17,17,61
1344.32995,0.076784,-0.011491,0.017597,-0.211746,-22.906577,62.591103,-0.257291,0.918595,0.034771,-0.000426,-0.082058,3.418119,2169.670066,634.755554,17.508,49,41,0.538301,1200.749783,384.137284,431306666.146225,3.418119,17508,143,-15289,-2219,-8340,-9152,7,7,61
1651.47152,0.056656,0.004942,-0.004017,0,-1.780331,-22.181718,-0.024366,-0.109642,0,0.000122,-0.035918,4.295717,1727.68575,402.187983,29.149,99,55,0.760235,963.339268,181.630951,477647469.88296,4.295717,29149,224,-27216,-1933,-16555,-12577,0,7,62
1708.48599,0.062161,0.006223,0,0,-1.628046,-5.724708,-0.04873,-0.028426,0,0,-0.032874,4.15332,1789.768096,430.92467,27.485,93,73,0.774803,973.377168,182.389667,698369267.897758,4.15332,27485,242,-24724,-2761,-12569,-14908,0,8,62
1594.94427,0.048609,0.003,-0.006768,-0.110476,-1.659608,-8.06436,0.142444,0.142442,0.025152,0.000167,0.065319,6.09715,1668.527145,273.656874,32.812,88,71,0.723756,902.778448,145.42878,529901763.078987,6.09715,32812,240,-32579,-233,-17016,-15780,0,9,62
378.35524,0.017011,-0.003752,-0.209507,-0.000919,-2.118337,0,-0.03481,-0.0087,0.006715,-0.001317,0.03162,4.317975,956.96654,221.62393,22.242,23,23,0.57993,755.360258,295.133695,25325807.789575,4.317975,22242,69,-22018,-224,-18704,-3522,0,7,63
1152.95997,0.178063,0.023977,0.122767,0.051055,-1.195821,-9.080795,0.112849,-0.218003,0.06903,0.006906,-0.173857,3.620016,1214.3602,335.45717,6.475,22,20,0.632006,1007.764391,626.443723,36666662.934639,3.620016,6475,75,-5462,-1013,-3106,-3353,8,8,63
1252.95464,0.176696,0.0272,0,0.014204,-0.81386,0,0.529942,0.475116,0.041245,0,-0.137554,2.787798,1289.21004,462.4475,7.091,27,24,0.617726,1011.64555,642.90564,40357702.463809,2.787798,7091,83,-6136,-955,-3593,-3481,8,8,63
559.9389,0.05311,-0.074075,0,0,-11.125859,0,0.113609,-0.320497,0,-0.000458,-0.015356,1.27607,1291.54915,1012.13047,10.543,40,38,0.440349,1110.65393,562.146119,80594066.833446,1.27607,10543,126,-10117,-426,-6389,-4117,8,8,64
797.4511,0.075674,-0.026456,0.017405,-0.019367,-7.21905,0,-0.135213,8.1,0.025581,-0.000981,-0.05495,2.366391,1254.2218,530.0147,10.538,42,33,0.467237,1635.306013,654.361401,57144971.544767,2.366391,10538,131,-10538,0,-4978,-5544,13,13,64
670.2754,0.070704,-0.029579,-0.016137,0.233766,-10.705276,0,0.309103,-0.243882,0.037706,-0.001461,-0.060645,2.321613,1135.417,489.0639,9.48,31,33,0.4343,1655.978888,582.961331,44024967.205615,2.321613,9480,123,-9480,0,-3987,-5476,0,8,64
-657.59544,-0.073614,-0.037424,0.001316,0,23.398681,12.541258,-0.51413,-0.38745,0,-0.001156,-0.49815,2.369943,1187.68416,501.1447,8.933,46,23,0.531526,444.976784,773.634275,39573046.769636,2.369943,8933,95,-1020,-7913,-4517,-4383,0,0,65
-668.7794,-0.077774,-0.019413,0.005945,0.130625,14.5186,0,0.025928,0.104491,-0.033286,-0.00072,0.025386,3.883654,1395.23917,359.25935,8.599,25,16,0.496025,584.358389,584.841853,33619097.487985,3.883654,8599,77,-4024,-4575,-4624,-3958,6,0,65
877.9106,0.080698,0.049431,-0.01189,0.072965,-12.0159,0,-0.052071,0.19318,0.034378,0.003677,0.045413,2.738527,1956.75182,714.5272,10.879,34,19,0.549257,763.028593,648.482666,35722988.222826,2.738527,10879,79,-7771,-3108,-6718,-4144,12,0,65
417.8929,0.023793,-0.038266,-0.07722,0.084025,-9.937231,0,0.143439,-0.461653,0.010591,-0.008152,-0.340065,1.416886,1248.4714,881.1377,17.564,52,32,0.493158,1053.11588,600.46536,184549622.939028,1.416886,17564,144,-16437,-1127,-10532,-7015,0,16,66
638.2536,0.048618,-0.010892,-0.006795,0.080344,-12.91363,22.535423,0.131218,0.352792,0.021643,-0.000202,-0.828653,3.075649,1293.8881,420.68787,13.128,30,20,0.613754,1056.661057,673.037346,128447760.246359,3.075649,13128,117,-10334,-2794,-6985,-6126,0,34,66
1454.9907,0.123966,0.010961,0.014306,0.007195,-1.671702,-9.505561,0.27289,-0.00975,0.036628,0.000542,-0.107563,3.024358,1902.2713,628.98342,11.737,24,18,0.633674,1230.85143,681.494263,143703083.302691,3.024358,11737,96,-10244,-1493,-5502,-6218,0,17,66
1832.845804,0.084826,0.001322,-0.341504,0.124998,0.062083,0,0.005733,-0.068795,0.02073,0.000861,-0.218318,9.436099,1832.845804,194.23766,21.607,73,53,0.469921,955.232121,216.456941,547031244.460374,9.436099,21607,192,-19571,-2036,-9990,-11600,8,8,67
1492.83354,0.065674,-0.003683,-0.01274,0.022409,-0.616321,0,0.101911,0.077437,0.032098,-0.000182,-0.079892,2.856162,1653.12825,578.79368,22.731,59,49,0.503656,939.394102,185.846643,372082452.361944,2.856162,22731,183,-22338,-393,-8882,-13832,7,7,67
784.9765,0.038808,-0.014394,-0.001408,0,-15.018464,0,-0.667517,20.25,0.030643,-0.000711,-0.110071,2.550494,1366.3014,535.700765,20.227,70,52,0.522429,744.223305,167.036923,330298509.576888,2.550494,20227,197,-18859,-1368,-8834,-10739,0,7,67
1190.4613,0.032555,-0.010481,-0.000637,-0.061814,-9.770855,0,-0.016783,9.895959,0.002831,-0.000388,-0.274955,2.481895,2337.39977,941.7803,36.568,42,34,0.615959,1298.882187,756.063587,261374351.575867,2.481895,36568,140,-22699,-13869,-18518,-18033,7,7,68
2138.77495,0.174537,0.020392,0,0,-1.501268,-8.668451,-0.010829,-0.176871,0,0,-0.528779,5.987714,2271.224147,379.31407,12.254,28,25,0.62644,1112.432023,689.478767,230146352.462286,5.987714,12254,125,-7562,-4692,-6431,-5806,0,7,68
2060.41659,0.110603,0.010123,-0.289586,0.500002,-2.595132,-22.134689,0.204668,-0.224158,0.024415,0.002066,-0.592524,5.602929,2194.619823,391.69154,18.629,27,27,0.591926,1085.018209,662.144189,219490239.851829,5.602929,18629,126,-6903,-11726,-6013,-12599,0,7,68
-203.0349,-0.006233,-0.012564,0.008586,-0.024765,44.893506,0,0.539642,0.295858,-0.001077,-0.000465,0.002417,3.813537,2106.4035,552.34903,32.573,103,70,0.489184,955.972356,625.502552,396724900.421811,3.813537,32573,225,-21632,-10941,-16787,-15770,25,25,69
281.4323,0.013312,-0.000088,0,0,-86.930824,0,-1.170425,54,0,0,-0.025797,4.291797,1362.89033,317.557,21.141,82,55,0.583146,956.687817,620.245818,294893533.755098,4.291797,21141,198,-15304,-5837,-10960,-9820,0,8,69
