@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R32-74

@attribute Sigdist numeric
@attribute AVXV numeric
@attribute AYXV numeric
@attribute VEL1Y numeric
@attribute VEL1X numeric
@attribute VEL4X numeric
@attribute VEL4Y numeric
@attribute VEL5 numeric
@attribute VEL6 numeric
@attribute VELCOR numeric
@attribute Initdir numeric
@attribute XSize numeric
@attribute YSize numeric
@attribute TotalTime numeric
@attribute VeLXZero numeric
@attribute VelYZero numeric
@attribute AvPress numeric
@attribute PIXELCENX numeric
@attribute PIXELCENY numeric
@attribute PTD numeric
@attribute HDRATION numeric
@attribute SET numeric
@attribute DCHANGE numeric
@attribute DUR1 numeric
@attribute DUR2 numeric
@attribute DUR3 numeric
@attribute DUR4 numeric
@attribute TIME3 numeric
@attribute TIME4 numeric
@attribute TIME5 numeric
@attribute TIME6 numeric
@attribute ME numeric
@attribute DIF1 numeric
@attribute ER numeric
@attribute DIF2 numeric
@attribute RI numeric
@attribute DIF3 numeric
@attribute CA numeric
@attribute DIF4 numeric
@attribute SE numeric
@attribute DIF5 numeric
@attribute IC numeric
@attribute DIF6 numeric
@attribute NO numeric
@attribute DIF7 numeric
@attribute RR numeric
@attribute DIF8 numeric
@attribute DE numeric
@attribute DIF9 numeric
@attribute EL numeric
@attribute DIF10 numeric
@attribute IR numeric
@attribute TOT numeric
@attribute STD numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
1423.9982,0.071271,-0.000654,0,0,-2.916239,795.844871,-0.207917,0.09096,0,0,-0.239848,13.510121,1445.73195,107.01103,19.98,99,76,0.61378,1022.260644,884.313828,199958813.402988,13.510121,19980,201,-9283,-10697,-9225,-10747,0,8,283,163,120,-103,223,-253,476,317,159,-123,282,114,168,26,142,41,101,33,68,-26,94,2116,118.577631,44
1293.40088,0.071183,-0.007504,0.005349,0,-1.368645,54.596751,-0.097462,0.162434,0.024356,-0.001791,0.164018,9.129347,1404.01866,153.7918,18.17,67,56,0.504137,1043.19931,412.10825,145006924.497742,9.129347,18170,186,-17703,-467,-7977,-10035,0,8,137,54,83,-37,120,-113,233,82,151,47,104,28,76,-66,142,67,75,17,58,-33,91,1270,49.544654,44
1366.5938,0.103483,-0.005948,0,0,-0.141194,141.469699,-0.01462,-0.336236,0,0,0.355956,10.689635,1396.027,130.59632,13.206,59,57,0.538377,1102.85046,371.060123,97761788.557544,10.689635,13206,157,-13206,0,-6060,-7113,0,8,111,21,90,-171,261,-8,269,57,212,-70,282,103,179,-26,205,104,101,33,68,-83,151,1929,76.672385,44
10.9937,0.000379,0.00361,-0.07059,-0.162112,-526.36335,-9.962562,-0.157856,0.185824,0.000185,0.002117,0.181577,10.052199,1616.483106,160.8089,28.97,86,62,0.496757,820.605146,439.084842,339076849.524244,10.052199,28970,188,-22214,-6756,-18095,-10858,8,8,203,10,193,-302,495,-181,676,507,169,-544,713,532,181,-913,1094,668,426,228,198,-743,941,5289,333.181578,45
1561.41784,0.096976,0.001168,-0.11676,0.491089,-0.648776,-494.601701,-0.062943,-0.152281,0.067963,0.000747,0.001417,8.725812,1569.019644,179.8136,16.101,42,39,0.534488,874.755934,639.128235,229217987.692611,8.725812,16101,148,-10442,-5659,-8706,-7379,0,17,92,-44,136,27,109,-130,239,79,160,-18,178,-26,204,-890,1094,926,168,-185,353,185,168,2901,284.197499,45
1557.32443,0.090764,-0.001022,0.12987,0,-1.641494,582.147631,-0.149058,-0.229315,0,-0.000772,-0.128455,10.246741,1570.87144,153.3045,17.158,46,35,0.567872,887.594387,700.46509,240915567.664968,10.246741,17158,151,-11760,-5398,-9344,-7797,0,7,350,196,154,-347,501,-169,670,517,153,-560,713,537,176,-5,181,-245,426,228,198,30,168,3690,212.76953,45
1560.24827,0.079665,0.005573,0.008535,0.060132,-0.27547,-21.675471,0.17199,-0.034394,0.018172,0.000692,-0.264874,6.119485,1646.2086,269.01098,19.585,49,35,0.601381,963.152848,657.354336,190037000.831789,6.119485,19585,155,-14632,-4953,-12204,-7364,7,7,198,-874,1072,943,129,35,94,-49,143,-657,800,631,169,9,160,17,143,-90,233,96,137,3278,323.285942,46
1602.74109,0.100322,0.013012,0.17364,0,-0.701782,-6.008375,0.086632,0.075803,0,0.004751,-0.413803,6.832045,1739.86838,254.66291,15.976,29,28,0.619384,1016.539674,711.424106,183602112.973799,6.832045,15976,134,-10043,-5933,-7778,-8181,0,8,153,96,57,-85,142,-41,183,-18,201,16,185,51,134,-26,160,87,73,-695,768,475,293,2349,194.390516,46
1720.47362,0.112061,0.006227,-0.000084,0,-0.777556,-4.265643,-0.009746,0.116951,0,0.000154,-0.204718,4.066419,1845.90561,453.9389,15.353,35,26,0.673567,1120.990862,645.134086,209109780.867099,4.066419,15353,155,-11456,-3897,-7170,-8166,0,7,161,0,161,18,143,-138,281,102,179,-621,800,623,177,25,152,9,143,-90,233,47,186,2616,191.030792,46
2288.86445,0.107393,0.010595,0.157183,0.056373,-0.028349,-24.014705,0.019493,0.064973,0.014696,0.00501,-0.310102,7.314659,2309.0388,315.6728,21.313,43,27,0.568305,1417.750956,413.200421,572361574.053708,7.314659,21313,134,-19149,-2164,-8986,-12310,8,8,389,37,352,210,142,-85,227,-14,241,-194,435,130,305,184,121,-87,208,-31,239,1,238,2897,97.956391,47
1909.54745,0.107781,0.006376,0,0,-0.555358,0,-0.002953,0.162433,0,0,-0.099625,6.6932,2085.46378,311.57947,17.717,62,42,0.563425,1233.569573,389.667615,505184510.114155,6.6932,17717,141,-16115,-1602,-8701,-9000,8,8,201,12,189,66,123,-51,174,-45,219,-18,237,-423,660,539,121,-54,175,-35,210,-7,217,2526,147.529843,47
1731.09675,0.123175,0.000839,-0.111882,0.099657,-0.878654,-385.374337,-0.102459,0.492297,0.059509,0.000392,-0.073018,9.347414,1885.76689,201.74209,14.054,48,35,0.455704,1226.279266,346.980034,289836053.701986,9.347414,14054,118,-13161,-893,-6971,-7067,0,8,386,242,144,-134,278,96,182,-19,201,-234,435,131,304,-749,1053,845,208,-31,239,-222,461,3891,254.468894,47
