@relation Hand-based-all-weka.filters.unsupervised.attribute.Remove-R1-74

@attribute ME numeric
@attribute DIF1 numeric
@attribute ER numeric
@attribute DIF2 numeric
@attribute RI numeric
@attribute DIF3 numeric
@attribute CA numeric
@attribute DIF4 numeric
@attribute SE numeric
@attribute DIF5 numeric
@attribute IC numeric
@attribute DIF6 numeric
@attribute NO numeric
@attribute DIF7 numeric
@attribute RR numeric
@attribute DIF8 numeric
@attribute DE numeric
@attribute DIF9 numeric
@attribute EL numeric
@attribute DIF10 numeric
@attribute IR numeric
@attribute TOT numeric
@attribute STD numeric
@attribute class {43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119}

@data
283,163,120,-103,223,-253,476,317,159,-123,282,114,168,26,142,41,101,33,68,-26,94,2116,118.577631,44
137,54,83,-37,120,-113,233,82,151,47,104,28,76,-66,142,67,75,17,58,-33,91,1270,49.544654,44
111,21,90,-171,261,-8,269,57,212,-70,282,103,179,-26,205,104,101,33,68,-83,151,1929,76.672385,44
203,10,193,-302,495,-181,676,507,169,-544,713,532,181,-913,1094,668,426,228,198,-743,941,5289,333.181578,45
92,-44,136,27,109,-130,239,79,160,-18,178,-26,204,-890,1094,926,168,-185,353,185,168,2901,284.197499,45
350,196,154,-347,501,-169,670,517,153,-560,713,537,176,-5,181,-245,426,228,198,30,168,3690,212.76953,45
198,-874,1072,943,129,35,94,-49,143,-657,800,631,169,9,160,17,143,-90,233,96,137,3278,323.285942,46
153,96,57,-85,142,-41,183,-18,201,16,185,51,134,-26,160,87,73,-695,768,475,293,2349,194.390516,46
161,0,161,18,143,-138,281,102,179,-621,800,623,177,25,152,9,143,-90,233,47,186,2616,191.030792,46
389,37,352,210,142,-85,227,-14,241,-194,435,130,305,184,121,-87,208,-31,239,1,238,2897,97.956391,47
201,12,189,66,123,-51,174,-45,219,-18,237,-423,660,539,121,-54,175,-35,210,-7,217,2526,147.529843,47
386,242,144,-134,278,96,182,-19,201,-234,435,131,304,-749,1053,845,208,-31,239,-222,461,3891,254.468894,47
237,46,191,-2,193,-97,290,131,159,-38,197,-21,218,-158,376,125,251,-42,293,75,218,2623,61.560318,48
145,-75,220,-16,236,-1,237,-179,416,248,168,-257,425,49,376,208,168,-75,243,32,211,2845,100.271903,48
124,-76,200,-75,275,-19,294,75,219,22,197,-29,226,99,127,-124,251,-42,293,92,201,2407,58.281761,48
618,551,67,-130,197,58,139,-36,175,-74,249,61,188,56,132,-26,158,41,117,26,91,2131,149.679051,49
140,-21,161,54,107,-106,213,46,167,8,159,1,158,26,132,-39,171,-87,258,97,161,1827,40.218042,49
96,-29,125,-60,185,-112,297,118,179,-70,249,61,188,37,151,-7,158,41,117,-147,264,2009,63.948843,49
203,113,90,-42,132,-34,166,13,153,77,76,-94,170,-36,206,111,95,-84,179,46,133,1603,44.681296,50
168,-348,516,418,98,-101,199,107,92,-85,177,48,129,-77,206,122,84,-104,188,-22,210,2067,118.59465,50
75,-90,165,52,113,1,112,-84,196,120,76,-47,123,-16,139,44,95,-84,179,0,179,1452,42.717678,50
210,62,148,45,103,-109,212,65,147,-161,308,166,142,-24,166,50,116,-59,175,14,161,1888,56.305014,51
150,43,107,-76,183,51,132,-33,165,39,126,7,119,-47,166,41,125,-2,127,-59,186,1586,27.124963,51
164,11,153,-22,175,26,149,-61,210,-98,308,-62,370,77,293,177,116,-59,175,-93,268,2381,80.852166,51
201,-92,293,174,119,-212,331,75,256,-30,286,4,282,-123,405,28,377,171,206,-4,210,2966,83.532356,52
211,-12,223,45,178,-177,355,86,269,109,160,-42,202,-203,405,202,203,-57,260,16,244,2710,74.46378,52
120,-96,216,-2,218,-54,272,-6,278,-8,286,-17,303,110,193,-184,377,171,206,-111,317,2786,70.80832,52
334,58,276,132,144,-418,562,394,168,25,143,-179,322,196,126,-39,165,-154,319,151,168,2727,131.797917,53
179,7,172,28,144,-169,313,145,168,-186,354,169,185,59,126,-25,151,-390,541,329,212,2545,124.730327,53
177,-20,197,18,179,6,173,-14,187,44,143,-81,224,89,135,-30,165,-154,319,60,259,2158,53.510407,53
1051,849,202,-8,210,-291,501,317,184,-12,196,10,186,-563,749,546,203,-56,259,120,139,3880,294.517263,54
175,71,104,-11,115,-307,422,247,175,-67,242,106,136,-613,749,574,175,-105,280,86,194,2767,187.635478,54
131,-80,211,35,176,9,167,-65,232,36,196,33,163,-344,507,304,203,-56,259,58,201,2446,100.5955,54
439,174,265,138,127,-254,381,112,269,-286,555,222,333,155,178,-152,330,39,291,19,272,3440,117.889008,55
