Sigdist,AVXV,AYXV,VEL1Y,VEL1X,VEL4X,VEL4Y,VEL5,VEL6,VELCOR,Initdir,XSize,YSize,TotalTime,VeLXZero,VelYZero,AvPress,PIXELCENX,PIXELCENY,PTD,HDRATION,SET,DCHANGE,DUR1,DUR2,DUR3,DUR4,TIME3,TIME4,TIME5,TIME6,class
1424,0.07,0,0,0,-2.92,795.84,-0.21,0.09,0,0,-0.24,13.51,1445.73,107.01,19.98,99,76,0.61,1022.26,884.31,199958813.4,13.51,19980,201,-9283,-10697,-9225,-10747,0,8,44
1293.4,0.07,-0.01,0.01,0,-1.37,54.6,-0.1,0.16,0.02,0,0.16,9.13,1404.02,153.79,18.17,67,56,0.5,1043.2,412.11,145006924.5,9.13,18170,186,-17703,-467,-7977,-10035,0,8,44
1366.59,0.1,-0.01,0,0,-0.14,141.47,-0.01,-0.34,0,0,0.36,10.69,1396.03,130.6,13.21,59,57,0.54,1102.85,371.06,97761788.56,10.69,13206,157,-13206,0,-6060,-7113,0,8,44
10.99,0,0,-0.07,-0.16,-526.36,-9.96,-0.16,0.19,0,0,0.18,10.05,1616.48,160.81,28.97,86,62,0.5,820.61,439.08,339076849.5,10.05,28970,188,-22214,-6756,-18095,-10858,8,8,45
1561.42,0.1,0,-0.12,0.49,-0.65,-494.6,-0.06,-0.15,0.07,0,0,8.73,1569.02,179.81,16.1,42,39,0.53,874.76,639.13,229217987.7,8.73,16101,148,-10442,-5659,-8706,-7379,0,17,45
1557.32,0.09,0,0.13,0.49,-1.64,582.15,-0.15,-0.23,0,0,-0.13,10.25,1570.87,153.3,17.16,46,35,0.57,887.59,700.47,240915567.7,10.25,17158,151,-11760,-5398,-9344,-7797,0,7,45
1560.25,0.08,0.01,0.01,0.06,-0.28,-21.68,0.17,-0.03,0.02,0,-0.26,6.12,1646.21,269.01,19.59,49,35,0.6,963.15,657.35,190037000.8,6.12,19585,155,-14632,-4953,-12204,-7364,7,7,46
1602.74,0.1,0.01,0.17,0,-0.7,-6.01,0.09,0.08,0,0,-0.41,6.83,1739.87,254.66,15.98,29,28,0.62,1016.54,711.42,183602113,6.83,15976,134,-10043,-5933,-7778,-8181,0,8,46
1720.47,0.11,0.01,0,0,-0.78,-4.27,-0.01,0.12,0,0,-0.2,4.07,1845.91,453.94,15.35,35,26,0.67,1120.99,645.13,209109780.9,4.07,15353,155,-11456,-3897,-7170,-8166,0,7,46
2288.86,0.11,0.01,0.16,0.06,-0.03,-24.01,0.02,0.06,0.01,0.01,-0.31,7.31,2309.04,315.67,21.31,43,27,0.57,1417.75,413.2,572361574.1,7.31,21313,134,-19149,-2164,-8986,-12310,8,8,47
