VEL5,VEL6,TIME6,dtfk1,ft3,dtfk8,dtfk9,dtfk12,ft12,dtfk13,dtsk13,class
0.870777,0.2111,0.040712,0.002188,0.03367,0.293292,0.690549,0.135252,0.565217,0.233522,0.062016,44
0.874559,0.212681,0.040712,0.001915,0.071829,0.24337,0.022866,0.135252,0.415459,0.060264,0.364341,44
0.877396,0.201655,0.040712,0.002188,0.139169,0.280811,0.97561,0.135252,0.565217,0.173258,0.24031,44
0.872491,0.213198,0.040712,0.002188,0.071829,0.24337,0.143293,0.11223,0.038647,0.237288,0.302326,45
0.875741,0.205722,0.086514,0,0.175084,0.196568,0.143293,0.135252,0.149758,0.233522,0.302326,45
0.872792,0.204019,0.035623,0,0.141414,0.24649,0.118902,0.11223,0.038647,0.237288,0.422481,45
0.883786,0.208329,0.035623,0.979212,0.139169,0.293292,0.120427,0.135252,0.074879,0.237288,0.05814,46
0.880863,0.210765,0.040712,0.00465,0.105499,0.196568,0.096037,0.247482,0.188406,0.060264,0.302326,46
0.877563,0.211675,0.035623,0.060722,0.105499,0.193448,1.286585,0.135252,0.074879,0.293785,0.426357,46
0.878564,0.210526,0.040712,0.00465,0.139169,0.390016,0.071646,0.021583,0.224638,0.060264,0.364341,47
0.877795,0.212681,0.040712,0.002188,0.139169,0.583463,0.071646,0.046043,0.227053,1.235405,0.182171,47
0.874388,0.219974,0.040712,0.003829,0.105499,0.196568,1.618902,0.021583,0.224638,0.116761,1.271318,47
0.875477,0.207581,0.035623,0,0.175084,0.196568,0.143293,0.089209,0.188406,0.293785,0.244186,48
0.873758,0.207969,0.030534,0,0.246914,0.193448,0.190549,0.293525,0.111111,0.293785,0.302326,48
0.882402,0.204995,0.076336,0.001915,0.03367,0.24337,0.143293,0.089209,0.188406,0.293785,0.306202,48
0.873605,0.208781,0.040712,0,0.03367,0.293292,0.143293,0.292086,0.038647,0.410546,0.364341,49
0.869907,0.199425,0.035623,0.001915,0.246914,0.340094,0.141768,0.113669,0.149758,0.410546,0.302326,49
0.878342,0.200901,0.035623,0,0.210999,0.24337,0,0.292086,0.038647,0.467043,0.302326,49
0.874789,0.208643,0.035623,0,0.280584,0.01248,0.856707,0.966906,0.074879,0.056497,0.124031,50
0.877062,0.207877,0.035623,0.00465,0.316498,0.536661,0.071646,0.965468,0.113527,0.056497,0.05814,50
0.88028,0.208884,0.035623,0,0.175084,0.224649,1.071646,0.966906,0.074879,0.293785,0.422481,50
0.877181,0.207704,0.081425,0.001641,0.105499,0.24337,0,0.133813,0.038647,0.060264,0.120155,51
0.880916,0.204574,0.035623,0,0.175084,0.196568,0.094512,0.11223,0.263285,1.472693,0.05814,51
0.875672,0.206755,0.040712,0.00465,0.071829,0.24025,2,0.133813,0.038647,0.233522,0.24031,51
0.867143,0.207892,0.040712,0,0.035915,0.340094,0.143293,0.135252,0.074879,0.354049,0.302326,52
0.869766,0.397606,0.040712,1.197484,0.105499,0.290172,0.167683,0.11223,0.224638,0.233522,0.302326,52
0.861848,0.212848,0.086514,0.455963,0.069585,0.343214,0.118902,0.135252,0.074879,0.410546,0.302326,52
0.868578,0.190483,0.076336,0.105306,0.035915,0.436817,0.190549,0.021583,0.227053,0.233522,0.302326,53
0.882836,0.208572,0.040712,0.00465,0.03367,0.096724,0.02439,0.179856,0.188406,0.350282,0.302326,53
0.874256,0.205824,0.066158,0.319475,0.208754,0.24337,0.094512,0.021583,0.227053,0.177024,0.120155,53
0.832293,0.80606,0.035623,0.121171,0.069585,0.24337,0.143293,0.11223,0.038647,0.414313,0.360465,54
0.705638,0.21975,0.173028,0.139497,0.069585,0.193448,0.143293,0.133813,0.227053,0.120527,0.182171,54
0.888181,0.208782,0.086514,0.044858,0.03367,0.24337,0,0.11223,0.038647,0.354049,0.360465,54
0.87764,0.208758,0.035623,0.001915,0.175084,0.24337,0.118902,0.156835,0.301932,0.237288,1.027132,55
0.888288,0.191214,0.035623,0.004376,0.141414,0.193448,0.065549,0.044604,0.34058,0.587571,0.360465,55
0.883904,0.209336,0.035623,0.00465,0.03367,0.24337,1.620427,0.156835,0.301932,0.350282,0.302326,55
0.883054,0.208893,0.086514,0,0.03367,0.24337,0.118902,0.156835,0.376812,0.120527,0.302326,56
0.880444,0.206821,0.035623,0.002188,0.069585,0.193448,0.02439,0.11223,0.227053,0.233522,0.302326,56
0.880841,0.208963,0.040712,0.001915,0.03367,0.343214,1.237805,0.156835,0.376812,0.354049,0.244186,56
0.877111,0.204653,0,0,0.071829,0.24649,0.856707,1.102158,1.888889,0.177024,0.062016,57
0.877092,0.209634,0,0,0.035915,0.049922,0.02439,1.197122,0.149758,0.056497,0.05814,57
0.864547,0.200977,0,0,0.069585,0.193448,1.096037,1.102158,1.888889,0.116761,0.062016,57
0.868552,0.20478,0.086514,0.00465,0.666667,0.343214,0,0.156835,0.490338,0.120527,0.422481,58
0.876986,0.208567,0.040712,0.001915,0.455668,0.24337,0.094512,0.179856,0.152174,0.293785,0.426357,58
0.878072,0.211811,0.040712,0.002188,0.386083,0.196568,1.239329,0.156835,0.490338,0.293785,0.302326,58
0.877041,0.21373,0.086514,0.00465,0.210999,0.340094,0.141768,0.156835,0.113527,0.587571,0.422481,59
0.877391,0.20824,0.081425,0.00465,0.139169,0.24337,0.262195,0.135252,0.149758,0.060264,0.120155,59
0.894167,0.215823,0.040712,0.002188,0.105499,0.340094,1.452744,0.156835,0.113527,0.293785,0.666667,59
0.872334,0.211819,0,0,0.139169,0.293292,1.071646,0.11223,0,0.056497,1.817829,60
0.875415,0.208923,0,0,0.03367,0.046802,0.143293,0.11223,0.224638,0.293785,0.302326,60
0.880678,0.219145,0,0,1.333333,0.24337,1.309451,0.11223,0,0.293785,0.422481,60
0.871036,0.20442,0.035623,0.00465,0.314254,0.293292,1.381098,0.135252,0.188406,0.354049,0.422481,61
0.83678,0.364821,0.086514,0.125274,0.244669,0.146646,0.141768,0.22446,0.263285,0.354049,0.24031,61
0.869086,0.229399,0.035623,0.106674,0.03367,0.486739,1.643293,0.135252,0.188406,0.47081,0.426357,61
